ID,Name,SMILES,Solubility
mol-001ii,Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.38
mol-002ii,Acetylsalicylic_Acid,CC(=O)Oc1ccccc1C(=O)O,-1.67
mol-003ii,Alclofenac,C=CCOc1ccc(CC(=O)O)cc1Cl,-4.4
mol-004ii,Ambroxol,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,-3.87
mol-005ii,Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,-6.64
mol-006ii,Atovaquone,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-6.07
mol-007ii,Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,-3.69
mol-008ii,Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,-1.78
mol-009ii,"Barbital,Buta-",CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.22
mol-010ii,Benzthiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O,-4.84
mol-011ii,Bromazepam,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,-3.39
mol-012ii,Candesartan_cilexetil,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,-6.79
mol-013ii,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,-3.22
mol-014ii,Carbazole,c1ccc2c(c1)[nH]c1ccccc12,-5.19
mol-015ii,Carbendazim,COC(=O)Nc1nc2ccccc2[nH]1,-4.56
mol-016ii,Cefmenoxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,-3.27
mol-017ii,Cefprozil,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,-1.68
mol-018ii,Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-5.89
mol-019ii,Cephradine,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,-1.18
mol-020ii,Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,-3.17
mol-021ii,"Cholic_Acid,Deoxy-",C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,-4.62
mol-022ii,Cilostazol,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,-4.93
mol-023ii,Cimetidine,CN=C(NC#N)NCCSCc1nc[nH]c1C,-1.52
mol-024ii,Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-3.57
mol-025ii,Cisapride,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,-6.78
mol-026ii,Corticosterone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,-3.29
mol-027ii,Cortisone_Acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,-4.22
mol-028ii,Cyclosporine_A,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,-5.03
mol-029ii,Daidzein,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,-5.23
mol-030ii,Desipramine,CNCCCN1c2ccccc2CCc2ccccc21,-3.83
mol-031ii,Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-3.56
mol-032ii,Diazoxide,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,-3.43
mol-033ii,Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-5.34
